date,value
2021-01-01,1327.9788530755234
2021-01-02,1147.877533648959
2021-01-03,1252.9291680865267
2021-01-04,1453.3089022582387
2021-01-05,1460.375877003682
2021-01-06,1266.5104772925888
2021-01-07,1789.812323610926
2021-01-08,1479.8184441160836
2021-01-09,1382.5107182167299
2021-01-10,1342.4840616677236
2021-01-11,1497.1951035078998
2021-01-12,1377.9201484139799
2021-01-13,1196.4469891194526
2021-01-14,1645.7661556110843
2021-01-15,1281.9664460488748
2021-01-16,1247.8461390505972
2021-01-17,1186.397073175681
2021-01-18,
2021-01-19,1131.3567367985322
2021-01-20,1052.9339486614629
2021-01-21,1019.0796371666461
2021-01-22,1105.891557117877
2021-01-23,1045.5020768177828
2021-01-24,1129.247712032825
2021-01-25,1325.2155103018754
2021-01-26,1080.3779697269858
2021-01-27,1083.027352590971
2021-01-28,1093.1404413731311
2021-01-29,1329.0748987605944
2021-01-30,1182.8929234000987
2021-01-31,1148.9357703347612
2021-02-01,1536.331479352624
2021-02-02,1308.8549732298382
2021-02-03,1255.05492963623
2021-02-04,1221.9372299384454
2021-02-05,1490.2051706066036
2021-02-06,1841.233920100087
2021-02-07,
2021-02-08,1644.013059906555
2021-02-09,1422.6320038571025
2021-02-10,1197.739400503922
2021-02-11,1302.7601078939153
2021-02-12,1400.5843516252662
2021-02-13,1272.1687297388314
2021-02-14,1209.4000884633183
2021-02-15,1421.313447478962
2021-02-16,1202.2233904095676
2021-02-17,1063.6426503508499
2021-02-18,1076.6021544110133
2021-02-19,1230.7845894080276
2021-02-20,1090.822273928391
2021-02-21,
2021-02-22,
2021-02-23,1100.163453928207
2021-02-24,1006.5215419381354
2021-02-25,1078.2405088239805
2021-02-26,1208.2007144916354
2021-02-27,1125.728825407926
2021-02-28,1628.112381515833
2021-03-01,
2021-03-02,1323.9561033236048
2021-03-03,1635.7582415816823
2021-03-04,1294.05431680299
2021-03-05,1454.6731374711262
2021-03-06,1437.0857395323646
2021-03-07,1419.7743115249782
2021-03-08,1571.10162552349
2021-03-09,1470.5169477672168
2021-03-10,1240.3805240641107
2021-03-11,1361.341263153091
2021-03-12,1515.931895142335
2021-03-13,1345.4601294902209
2021-03-14,1338.5364988103638
2021-03-15,1470.2466495161061
2021-03-16,1279.0167292706788
2021-03-17,1185.19323845108
2021-03-18,1132.8470643384064
2021-03-19,1404.574961398072
2021-03-20,1014.2317027606275
2021-03-21,1146.4210443166044
2021-03-22,1342.4724992913114
2021-03-23,1177.0169022049627
2021-03-24,992.121978977355
2021-03-25,1134.253241978647
2021-03-26,1171.734054449164
2021-03-27,1425.0073286795657
2021-03-28,1200.6373224648128
2021-03-29,1437.7054753063671
2021-03-30,
2021-03-31,1295.1685925508186
2021-04-01,1188.8492154381233
2021-04-02,1724.285602710616
2021-04-03,1334.6046296357304
2021-04-04,1358.8317906942561
2021-04-05,1567.5399501122283
2021-04-06,1468.0043607177347
2021-04-07,1267.404206582614
2021-04-08,1304.8023649099955
2021-04-09,1517.405214146177
2021-04-10,1452.018960009645
2021-04-11,1397.2867284334914
2021-04-12,1679.3074069726522
2021-04-13,1463.543880181057
2021-04-14,1283.2753263534837
2021-04-15,1295.910754201901
2021-04-16,1419.205236355949
2021-04-17,1239.2715354111526
2021-04-18,1222.7701082081935
2021-04-19,1394.2076764273913
2021-04-20,1157.3626296343616
2021-04-21,974.7185776415705
2021-04-22,1167.2898676373347
2021-04-23,1270.7967496461354
2021-04-24,1120.6116930825658
2021-04-25,1186.3636752490997
2021-04-26,1330.568179631278
2021-04-27,1496.5084252053787
2021-04-28,1119.7795121529737
2021-04-29,1269.1462492513324
2021-04-30,1329.4953140717964
2021-05-01,1145.1331487733148
2021-05-02,1321.2234025892121
2021-05-03,1627.0443622187634
2021-05-04,1337.8869619257669
2021-05-05,1281.5960853182248
2021-05-06,1411.8399762280917
2021-05-07,1697.279955344165
2021-05-08,1364.7611244996647
2021-05-09,1402.445290296336
2021-05-10,1675.4992728388752
2021-05-11,1999.1786490617687
2021-05-12,1316.4123369000897
2021-05-13,1282.8639156762881
2021-05-14,1515.831090638821
2021-05-15,1352.4292541155523
2021-05-16,1419.0534738984131
2021-05-17,1524.573485953196
2021-05-18,1330.7531966708739
